No.,Time,Source,Destination,Protocol,Length,Info,Target
106,3.693469,192.168.0.91,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
107,3.705349,192.168.3.136,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
108,3.709465,192.168.4.165,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
109,3.790485,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0x55ff A CENTOS-8,2
110,3.792594,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0xac47 AAAA CENTOS-8,2
111,3.813852,192.168.0.40,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
112,3.82285,192.168.0.226,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
113,3.905261,192.168.0.53,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
114,3.978714,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.27? Tell 14.102.45.17,1
115,3.988684,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.30? Tell 14.102.45.17,1
116,3.999224,AioLcdPc_1a:e6:cb,Broadcast,ARP,60,Who has 192.168.0.254? Tell 192.168.0.39,1
117,4.011193,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.162? Tell 103.215.238.161,1
118,4.108739,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.146? Tell 103.215.238.145,1
119,4.148726,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.30? Tell 103.215.238.29,1
120,4.279913,192.168.0.65,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
121,4.307583,Fortinet_78:f7:50,Broadcast,ARP,60,Who has 192.168.3.102? Tell 192.168.3.1,1
122,4.373969,192.168.0.55,224.0.0.251,MDNS,74,"Standard query 0x0000 A CENTOS-8.local, ""QM"" question",2
123,4.375966,192.168.0.55,224.0.0.251,MDNS,74,"Standard query 0x0000 AAAA CENTOS-8.local, ""QM"" question",2
124,4.379759,192.168.0.55,224.0.0.251,MDNS,74,"Standard query 0x0000 A CENTOS-8.local, ""QM"" question",2
125,4.38101,192.168.0.55,224.0.0.251,MDNS,74,"Standard query 0x0000 AAAA CENTOS-8.local, ""QM"" question",2
126,4.385106,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0xd99a A CENTOS-8,2
127,4.387995,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0xff4b AAAA CENTOS-8,2
